5000 50000
20:07:01 4507 260
07:08:47 1680 702
23:57:34 1425 614
13:02:01 1536 233
07:32:38 435 584
06:45:41 8929 439
07:28:37 4558 838
00:48:51 2616 724
13:21:17 2548 230
10:06:05 6225 109
11:54:22 9892 280
01:46:29 8786 137
12:05:35 4804 859
20:39:56 5926 601
06:45:04 751 687
07:49:18 1308 885
07:55:06 6228 294
14:40:53 5978 176
11:22:13 4375 728
21:41:04 9981 660
05:34:46 4011 177
14:24:17 9126 234
21:20:53 917 244
01:51:20 6573 284
02:13:58 9293 907
22:20:13 8180 415
20:29:09 4340 152
07:47:35 8831 279
23:37:27 9561 418
11:14:08 8349 515
02:48:03 1797 166
20:10:50 6917 620
02:24:24 9764 489
16:16:35 189 706
23:07:43 8798 778
08:49:41 5574 124
09:27:10 7434 13
23:56:46 4316 522
05:32:58 1744 901
20:19:53 8318 633
06:09:23 2647 562
16:58:00 9814 341
15:01:07 5948 909
09:15:03 3947 909
18:05:05 7963 845
02:48:34 2061 141
21:30:35 2706 281
16:55:38 6933 997
06:59:34 3296 740
09:25:42 6119 458
16:28:07 4062 240
02:21:01 9639 577
07:37:14 118 82
22:40:03 3751 79
01:55:21 1161 536
07:17:42 7954 229
17:08:46 9356 600
15:15:50 7750 836
13:12:06 1589 684
13:22:27 6736 488
23:03:43 1613 72
12:46:21 1791 264
06:12:34 7351 153
13:11:17 7580 265
02:28:51 9017 110
01:41:34 242 105
07:10:26 7957 502
06:55:25 961 178
12:00:24 4346 958
14:18:27 9106 687
22:31:09 3112 313
06:03:37 8884 72
23:20:03 822 608
15:32:58 8702 171
01:32:05 3045 80
19:04:43 3854 423
03:56:36 4034 602
19:02:39 1344 439
21:37:36 8566 333
08:13:42 5148 254
08:25:08 4916 478
10:59:48 1189 19
14:39:36 1639 85
17:13:32 4346 145
11:56:04 4003 388
09:10:28 8901 730
09:39:51 8667 18
21:52:35 4906 964
21:06:56 2201 280
03:56:06 9065 169
08:18:38 3451 744
10:13:43 4326 527
15:16:57 833 104
20:27:53 4534 55
00:21:49 2144 662
08:10:47 7240 574
22:27:35 159 124
02:56:44 2443 568
01:53:23 9544 575
04:27:08 686 325
11:57:59 654 930
11:13:43 4089 692
03:22:49 9174 915
13:39:47 2533 957
07:55:10 2901 912
13:01:11 5443 811
13:51:42 4066 283
05:50:44 1772 401
01:54:30 3645 214
14:22:19 3729 238
00:42:12 6529 346
08:55:04 4574 369
20:32:25 8786 349
00:07:56 4280 192
18:16:02 1777 620
13:22:46 5140 456
19:32:07 6312 931
18:12:16 728 735
13:00:33 8822 713
23:47:47 3229 382
13:04:42 5410 648
10:42:54 2042 747
09:32:19 6692 344
12:44:18 9084 140
06:26:42 6212 703
23:57:11 9325 318
12:35:53 7 321
09:13:27 9503 631
20:20:29 7239 462
21:13:32 7753 822
23:10:42 1390 300
16:42:40 5492 105
07:43:19 3681 835
06:09:01 758 260
15:39:54 1194 476
13:56:40 9432 209
22:44:24 8100 419
07:09:41 91 924
03:49:27 3586 190
22:33:29 823 580
07:58:54 1989 477
04:51:29 8703 582
19:20:48 7252 637
23:57:32 6992 860
17:28:57 2608 771
15:28:16 4051 870
20:17:49 8541 506
20:15:17 7207 89
22:18:15 4452 353
10:57:34 1321 151
04:14:24 2504 733
06:04:26 6679 348
17:29:26 1021 221
13:24:57 9570 978
22:01:54 9433 399
15:00:22 4893 781
12:54:57 6866 561
23:47:34 9884 929
07:31:14 4472 456
15:01:24 5508 694
21:51:25 2705 870
14:58:08 8752 37
12:37:36 445 95
20:27:08 7565 196
01:16:24 5364 226
14:20:21 6212 294
13:16:53 1342 491
00:47:34 854 984
11:14:41 1125 809
20:02:48 509 982
07:12:53 334 646
04:15:08 7759 695
03:36:13 7620 726
08:49:23 2750 630
19:47:45 1877 806
05:19:06 9482 36
09:36:43 6150 416
22:12:04 9701 717
20:15:06 4942 880
21:38:51 1984 825
18:50:02 5689 555
13:42:23 1130 528
20:21:00 6883 852
15:06:27 5935 660
14:45:09 7136 190
23:33:41 4426 640
17:49:30 7617 456
23:37:17 5281 882
07:53:59 1420 295
14:15:48 7614 593
19:42:24 5512 39
15:54:20 2980 509
06:22:51 4233 358
08:56:38 4527 579
00:33:12 1403 257
23:26:31 9097 786
07:44:30 8042 468
00:05:18 3631 424
22:15:19 9529 387
15:35:33 5633 445
23:35:21 5765 729
14:17:19 4119 246
03:46:12 5170 132
23:34:48 3034 206
06:47:30 4531 751
18:48:33 9778 299
03:53:12 4854 242
11:11:19 232 735
17:08:17 746 65
17:18:44 2069 663
15:06:55 201 597
09:30:30 7217 358
05:03:16 7828 126
02:25:31 1214 600
20:43:03 2486 162
18:19:05 4067 131
17:48:26 9934 620
19:14:49 8562 399
14:58:28 4872 890
18:27:19 9317 645
01:39:47 1626 980
06:40:13 4336 686
02:10:15 2848 575
02:10:00 6694 471
22:38:30 4772 43
07:18:45 4633 729
14:04:43 3825 956
08:50:50 9664 687
06:27:07 8923 240
20:09:58 4353 856
04:04:03 2719 821
09:38:47 9326 953
09:28:07 7680 715
09:44:25 4461 522
17:31:28 1318 622
01:56:27 5281 628
08:01:05 3751 994
21:53:55 9425 611
00:48:43 4416 600
01:48:48 2871 491
16:41:28 4558 195
18:27:40 8057 103
15:22:26 5461 338
21:06:54 2635 347
13:44:31 4723 688
12:52:48 9013 47
14:05:20 4136 341
03:49:25 8432 854
00:42:55 8890 483
13:03:12 8495 380
19:48:31 7243 788
01:13:17 8999 144
09:28:56 7942 134
00:40:38 3921 736
05:19:35 225 575
13:05:14 1859 482
03:41:53 2523 520
22:18:32 4480 435
15:30:15 7484 574
04:24:12 9821 530
23:56:08 1144 292
13:21:59 8319 283
00:18:46 4892 867
18:37:42 8023 896
04:28:34 7936 363
10:35:48 8904 396
14:59:20 3091 724
07:36:24 3827 886
13:02:20 7750 732
12:24:42 2493 517
01:08:32 9670 349
03:55:54 7214 112
16:58:29 252 749
04:26:55 2530 86
15:50:16 5547 648
22:25:41 1316 882
10:54:43 8743 399
10:40:45 7995 903
17:02:39 1122 250
20:43:58 4709 242
23:05:27 1613 788
20:45:55 1647 464
05:44:19 475 57
10:50:03 4807 377
11:27:09 4001 553
13:36:43 2951 184
05:05:39 6268 644
21:15:31 9555 156
07:29:40 4162 480
08:42:00 7623 932
09:43:34 2589 85
14:22:37 4902 664
13:44:16 7485 875
09:12:24 7917 119
07:24:36 5882 598
09:44:18 360 859
21:25:17 133 589
21:49:47 804 942
19:47:31 4690 804
07:38:51 5773 234
20:12:39 4107 704
